reporting_area,population,agency_count,service_count,unique_test_count,avg_services_per_agency,avg_fee,min_fee,max_fee,labs_per_100k_population,services_per_100k_population,unique_tests_per_100k_population,area_sq_km,population_density_per_sq_km,agency_count_norm,service_count_norm,unique_test_count_norm,labs_per_100k_norm,services_per_100k_norm,unique_tests_per_100k_norm,population_norm,supply_score,per_capita_supply_score,gap_score,classification,nearest_agency,nearest_agency_province,centroid_nearest_lab_km,province_service_distance_km,service_area_band
BULACAN,3708890,0,0,0,0.0,,,,0.0,0.0,0.0,2688.99549140999,1379.284573681164,0.0,0.0,0.0,0.0,0.0,0.0,0.27403535712511357,0.0,0.0,0.27403535712511357,No local OneLab presence,Standpro Testing Center Opc.,METROPOLITAN MANILA,33.34475455433272,33.34475455433272,No local lab; nearest <= 50 km
CAGAYAN,1268603,1,13,13,13.0,722.6923076923077,0.0,1920.0,0.07882686703405242,1.0247492714426816,1.0247492714426816,8797.497376684005,144.2004408392524,0.038461538461538464,0.009386281588447653,0.009579955784819455,0.2563123898230311,0.06336197098041203,0.06703868109532955,0.09281198927848239,0.02105511917695834,0.14127748054044317,0.07175687010152404,Well-served per capita,DOST-II,CAGAYAN,51.852564690038335,0.0,Local OneLab presence
CAMARINES NORTE,629699,0,0,0,0.0,,,,0.0,0.0,0.0,2121.3724719918396,296.8356610231446,0.0,0.0,0.0,0.0,0.0,0.0,0.04536497398450916,0.0,0.0,0.04536497398450916,No local OneLab presence,DOST-V,ALBAY,159.71624404953673,159.71624404953673,No local lab; nearest 100-200 km
CAMARINES SUR,2068244,0,0,0,0.0,,,,0.0,0.0,0.0,5262.60782936201,393.0074341585006,0.0,0.0,0.0,0.0,0.0,0.0,0.1521958384274751,0.0,0.0,0.1521958384274751,No local OneLab presence,DOST-V,ALBAY,82.27622898850014,82.27622898850014,No local lab; nearest 50-100 km
CAMIGUIN,92808,0,0,0,0.0,,,,0.0,0.0,0.0,242.53308836927164,382.66118913512565,0.0,0.0,0.0,0.0,0.0,0.0,0.005493764087252948,0.0,0.0,0.005493764087252948,No local OneLab presence,F.A.S.T. Laboratories (The First Analytical Services and Technical Cooperative) - Cagayan de Oro Branch,MISAMIS ORIENTAL,77.81377917118452,77.81377917118452,No local lab; nearest 50-100 km
CAPIZ,804952,0,0,0,0.0,,,,0.0,0.0,0.0,2651.0337042284737,303.6370298559686,0.0,0.0,0.0,0.0,0.0,0.0,0.058379811536496136,0.0,0.0,0.058379811536496136,No local OneLab presence,DOST-VI,ILOILO,75.04574993879133,75.04574993879133,No local lab; nearest 50-100 km
CATANDUANES,271879,0,0,0,0.0,,,,0.0,0.0,0.0,1460.5542907095898,186.14782191212583,0.0,0.0,0.0,0.0,0.0,0.0,0.018792138296378387,0.0,0.0,0.018792138296378387,No local OneLab presence,DOST-V,ALBAY,88.79514314300171,88.79514314300171,No local lab; nearest 50-100 km
CAVITE,4344829,2,14,14,7.0,2996.4285714285716,200.0,6720.0,0.04603173105316688,0.32222211737216816,0.32222211737216816,1245.1802352122156,3489.317351121874,0.07692307692307693,0.010108303249097473,0.010316875460574797,0.1496761629360634,0.019923535462912718,0.021079640035228733,0.3212621822178255,0.03687592716098472,0.0720558073666362,0.2843862550568408,Potentially underserved,DOST-CALABARZON-L2,LAGUNA,2.6375920675265805,0.0,Local OneLab presence
CEBU,5151274,4,48,45,12.0,1027.3333333333333,0.0,7200.0,0.07765069378953633,0.931808325474436,0.8735703051322837,4864.632396457794,1058.9235897353572,0.15384615384615385,0.034657039711191336,0.03316138540899042,0.2524879605834725,0.05761527597369945,0.05714861452662039,0.38115131775109534,0.08203355450473616,0.13547101752819285,0.2991177632463592,Potentially underserved,DOST-VII,CEBU,16.134048806572128,0.0,Local OneLab presence
CITY OF ISABELA,130379,0,0,0,0.0,,,,0.0,0.0,0.0,219.86967547974442,592.9830919862854,0.0,0.0,0.0,0.0,0.0,0.0,0.008283904408192976,0.0,0.0,0.008283904408192976,No local OneLab presence,DOST-IX,ZAMBOANGA DEL SUR,30.129442956076424,30.129442956076424,No local lab; nearest <= 50 km
