reporting_area,population,nearest_agency,nearest_agency_province,province_service_distance_km,service_area_band
MARINDUQUE,239207,DOST-CALABARZON-L3,BATANGAS,110.36584460372416,No local lab; nearest 100-200 km
AURORA,235750,DOST-CAR,BENGUET,138.58235599831346,No local lab; nearest 100-200 km
KALINGA,229570,DOST-II,CAGAYAN,58.64025441250997,No local lab; nearest 50-100 km
IFUGAO,207498,DOST-CAR,BENGUET,82.30505289684221,No local lab; nearest 50-100 km
QUIRINO,203828,DOST-CAR,BENGUET,113.76654586091198,No local lab; nearest 100-200 km
GUIMARAS,187842,DOST-VI,ILOILO,17.128128684738634,No local lab; nearest <= 50 km
BILIRAN,179312,DOST-VIII,LEYTE,75.7425502780615,No local lab; nearest 50-100 km
MOUNTAIN PROVINCE,158200,DOST-II,CAGAYAN,94.5583415159965,No local lab; nearest 50-100 km
CITY OF ISABELA,130379,DOST-IX,ZAMBOANGA DEL SUR,30.129442956076424,No local lab; nearest <= 50 km
DINAGAT ISLANDS,128117,DOST-VIII,LEYTE,132.1756003391849,No local lab; nearest 100-200 km
APAYAO,124366,DOST-II,CAGAYAN,82.31253256415624,No local lab; nearest 50-100 km
SIQUIJOR,103395,"GCH Center For Food Safety and Quality, Inc.",CEBU,133.00326210983087,No local lab; nearest 100-200 km
CAMIGUIN,92808,F.A.S.T. Laboratories (The First Analytical Services and Technical Cooperative) - Cagayan de Oro Branch,MISAMIS ORIENTAL,77.81377917118452,No local lab; nearest 50-100 km
BATANES,18831,DOST-II,CAGAYAN,342.08948969384784,No local lab; nearest > 200 km
